,tradedate,tradetime,secid,rate,clearing,date
0,2022-01-03,18:44:00,CAD/RUB,58.5405,vk,2022-01-03
1,2022-01-03,18:44:00,CHF/RUB,81.2905,vk,2022-01-03
2,2022-01-03,18:44:00,CNY/RUB,11.7589,vk,2022-01-03
3,2022-01-03,18:44:00,EUR/RUB,84.4328,vk,2022-01-03
4,2022-01-03,18:44:00,GBP/RUB,100.405,vk,2022-01-03
5,2022-01-03,18:44:00,HKD/RUB,9.5836,vk,2022-01-03
7,2022-01-03,18:44:00,JPY/RUB,0.64799,vk,2022-01-03
8,2022-01-03,18:44:00,TRY/RUB,5.7221,vk,2022-01-03
16,2022-01-03,18:44:00,USD/RUB,74.7328,vk,2022-01-03
19,2022-01-04,18:44:00,CAD/RUB,59.3364,vk,2022-01-04
20,2022-01-04,18:44:00,CHF/RUB,82.2809,vk,2022-01-04
21,2022-01-04,18:44:00,CNY/RUB,11.8066,vk,2022-01-04
22,2022-01-04,18:44:00,EUR/RUB,85.166,vk,2022-01-04
23,2022-01-04,18:44:00,GBP/RUB,101.9437,vk,2022-01-04
24,2022-01-04,18:44:00,HKD/RUB,9.6533,vk,2022-01-04
26,2022-01-04,18:44:00,JPY/RUB,0.64826,vk,2022-01-04
27,2022-01-04,18:44:00,TRY/RUB,5.6555,vk,2022-01-04
35,2022-01-04,18:44:00,USD/RUB,75.2385,vk,2022-01-04
38,2022-01-05,18:44:00,CAD/RUB,59.5791,vk,2022-01-05
39,2022-01-05,18:44:00,CHF/RUB,82.7472,vk,2022-01-05
40,2022-01-05,18:44:00,CNY/RUB,11.8921,vk,2022-01-05
41,2022-01-05,18:44:00,EUR/RUB,85.844,vk,2022-01-05
42,2022-01-05,18:44:00,GBP/RUB,102.6561,vk,2022-01-05
43,2022-01-05,18:44:00,HKD/RUB,9.7161,vk,2022-01-05
45,2022-01-05,18:44:00,JPY/RUB,0.65391,vk,2022-01-05
46,2022-01-05,18:44:00,TRY/RUB,5.5757,vk,2022-01-05
54,2022-01-05,18:44:00,USD/RUB,75.7369,vk,2022-01-05
57,2022-01-06,18:44:00,CAD/RUB,59.9292,vk,2022-01-06
58,2022-01-06,18:44:00,CHF/RUB,83.2532,vk,2022-01-06
59,2022-01-06,18:44:00,CNY/RUB,11.9802,vk,2022-01-06
60,2022-01-06,18:44:00,EUR/RUB,86.4947,vk,2022-01-06
61,2022-01-06,18:44:00,GBP/RUB,103.478,vk,2022-01-06
62,2022-01-06,18:44:00,HKD/RUB,9.8015,vk,2022-01-06
64,2022-01-06,18:44:00,JPY/RUB,0.66088,vk,2022-01-06
65,2022-01-06,18:44:00,TRY/RUB,5.5352,vk,2022-01-06
73,2022-01-06,18:44:00,USD/RUB,76.4697,vk,2022-01-06
76,2022-01-07,18:44:00,CAD/RUB,59.3435,vk,2022-01-07
77,2022-01-07,18:44:00,CHF/RUB,81.7035,vk,2022-01-07
78,2022-01-07,18:44:00,CNY/RUB,11.8011,vk,2022-01-07
79,2022-01-07,18:44:00,EUR/RUB,85.316,vk,2022-01-07
80,2022-01-07,18:44:00,GBP/RUB,102.0673,vk,2022-01-07
81,2022-01-07,18:44:00,HKD/RUB,9.6504,vk,2022-01-07
83,2022-01-07,18:44:00,JPY/RUB,0.6502,vk,2022-01-07
84,2022-01-07,18:44:00,TRY/RUB,5.4544,vk,2022-01-07
92,2022-01-07,18:44:00,USD/RUB,75.2653,vk,2022-01-07
95,2022-01-10,18:44:00,CAD/RUB,59.2852,vk,2022-01-10
96,2022-01-10,18:44:00,CHF/RUB,81.2814,vk,2022-01-10
97,2022-01-10,18:44:00,CNY/RUB,11.7972,vk,2022-01-10
98,2022-01-10,18:44:00,EUR/RUB,85.1336,vk,2022-01-10
99,2022-01-10,18:44:00,GBP/RUB,101.9208,vk,2022-01-10
100,2022-01-10,18:44:00,HKD/RUB,9.6493,vk,2022-01-10
102,2022-01-10,18:44:00,JPY/RUB,0.65271,vk,2022-01-10
103,2022-01-10,18:44:00,TRY/RUB,5.4548,vk,2022-01-10
111,2022-01-10,18:44:00,USD/RUB,75.2211,vk,2022-01-10
114,2022-01-11,18:44:00,CAD/RUB,59.2165,vk,2022-01-11
115,2022-01-11,18:44:00,CHF/RUB,80.7335,vk,2022-01-11
116,2022-01-11,18:44:00,CNY/RUB,11.7261,vk,2022-01-11
117,2022-01-11,18:44:00,EUR/RUB,84.7333,vk,2022-01-11
118,2022-01-11,18:44:00,GBP/RUB,101.62,vk,2022-01-11
119,2022-01-11,18:44:00,HKD/RUB,9.586,vk,2022-01-11
121,2022-01-11,18:44:00,JPY/RUB,0.64717,vk,2022-01-11
122,2022-01-11,18:44:00,TRY/RUB,5.4293,vk,2022-01-11
130,2022-01-11,18:44:00,USD/RUB,74.7431,vk,2022-01-11
133,2022-01-12,18:44:00,CAD/RUB,59.7719,vk,2022-01-12
134,2022-01-12,18:44:00,CHF/RUB,81.7187,vk,2022-01-12
135,2022-01-12,18:44:00,CNY/RUB,11.7703,vk,2022-01-12
136,2022-01-12,18:44:00,EUR/RUB,85.452,vk,2022-01-12
137,2022-01-12,18:44:00,GBP/RUB,102.4221,vk,2022-01-12
138,2022-01-12,18:44:00,HKD/RUB,9.6027,vk,2022-01-12
140,2022-01-12,18:44:00,JPY/RUB,0.6511,vk,2022-01-12
141,2022-01-12,18:44:00,TRY/RUB,5.5146,vk,2022-01-12
149,2022-01-12,18:44:00,USD/RUB,74.8404,vk,2022-01-12
152,2022-01-13,18:44:00,CAD/RUB,61.1943,vk,2022-01-13
153,2022-01-13,18:44:00,CHF/RUB,83.9054,vk,2022-01-13
154,2022-01-13,18:44:00,CNY/RUB,12.012,vk,2022-01-13
155,2022-01-13,18:44:00,EUR/RUB,87.4878,vk,2022-01-13
156,2022-01-13,18:44:00,GBP/RUB,104.9117,vk,2022-01-13
157,2022-01-13,18:44:00,HKD/RUB,9.8071,vk,2022-01-13
159,2022-01-13,18:44:00,JPY/RUB,0.66947,vk,2022-01-13
160,2022-01-13,18:44:00,TRY/RUB,5.6472,vk,2022-01-13
168,2022-01-13,18:44:00,USD/RUB,76.395,vk,2022-01-13
171,2022-01-14,18:44:00,CAD/RUB,60.8506,vk,2022-01-14
172,2022-01-14,18:44:00,CHF/RUB,83.6182,vk,2022-01-14
173,2022-01-14,18:44:00,CNY/RUB,12.0076,vk,2022-01-14
174,2022-01-14,18:44:00,EUR/RUB,87.1249,vk,2022-01-14
175,2022-01-14,18:44:00,GBP/RUB,104.3505,vk,2022-01-14
176,2022-01-14,18:44:00,HKD/RUB,9.7963,vk,2022-01-14
178,2022-01-14,18:44:00,JPY/RUB,0.67013,vk,2022-01-14
179,2022-01-14,18:44:00,TRY/RUB,5.6176,vk,2022-01-14
187,2022-01-14,18:44:00,USD/RUB,76.264,vk,2022-01-14
190,2022-01-17,18:44:00,CAD/RUB,60.8238,vk,2022-01-17
191,2022-01-17,18:44:00,CHF/RUB,83.1871,vk,2022-01-17
192,2022-01-17,18:44:00,CNY/RUB,11.9814,vk,2022-01-17
193,2022-01-17,18:44:00,EUR/RUB,86.6475,vk,2022-01-17
